regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
5ª Região - PB,capitulo_cid,C,489,410,83.8,42.5,41.4,True
5ª Região - PB,capitulo_cid,D,254,77,30.3,42.5,-12.2,True
5ª Região - PB,capitulo_cid,E,279,117,41.9,42.5,-0.5,True
5ª Região - PB,capitulo_cid,F,188,180,95.7,42.5,53.3,True
5ª Região - PB,capitulo_cid,G,93,59,63.4,42.5,21.0,True
5ª Região - PB,capitulo_cid,H,47,25,53.2,42.5,10.7,True
5ª Região - PB,capitulo_cid,I,715,362,50.6,42.5,8.2,True
5ª Região - PB,capitulo_cid,J,1127,215,19.1,42.5,-23.4,True
5ª Região - PB,capitulo_cid,K,927,426,46.0,42.5,3.5,True
5ª Região - PB,capitulo_cid,L,276,64,23.2,42.5,-19.3,True
5ª Região - PB,capitulo_cid,M,206,167,81.1,42.5,38.6,True
5ª Região - PB,capitulo_cid,N,703,173,24.6,42.5,-17.9,True
5ª Região - PB,capitulo_cid,O,1305,374,28.7,42.5,-13.8,True
5ª Região - PB,capitulo_cid,P,131,104,79.4,42.5,36.9,True
5ª Região - PB,capitulo_cid,Q,39,32,82.1,42.5,39.6,True
5ª Região - PB,capitulo_cid,R,170,39,22.9,42.5,-19.5,True
5ª Região - PB,capitulo_cid,S,622,515,82.8,42.5,40.3,True
5ª Região - PB,capitulo_cid,T,175,97,55.4,42.5,13.0,True
5ª Região - PB,capitulo_cid,U,4,4,100.0,42.5,57.5,False
5ª Região - PB,capitulo_cid,Z,164,61,37.2,42.5,-5.3,True
6ª Região - PB,capitulo_cid,A,429,94,21.9,24.3,-2.4,True
6ª Região - PB,capitulo_cid,B,46,21,45.7,24.3,21.3,True
6ª Região - PB,capitulo_cid,C,1347,339,25.2,24.3,0.8,True
6ª Região - PB,capitulo_cid,D,708,212,29.9,24.3,5.6,True
6ª Região - PB,capitulo_cid,E,191,77,40.3,24.3,16.0,True
6ª Região - PB,capitulo_cid,F,310,285,91.9,24.3,67.6,True
6ª Região - PB,capitulo_cid,G,142,81,57.0,24.3,32.7,True
6ª Região - PB,capitulo_cid,H,78,56,71.8,24.3,47.5,True
6ª Região - PB,capitulo_cid,I,1261,302,23.9,24.3,-0.4,True
6ª Região - PB,capitulo_cid,J,1954,669,34.2,24.3,9.9,True
6ª Região - PB,capitulo_cid,K,1425,372,26.1,24.3,1.8,True
6ª Região - PB,capitulo_cid,L,130,56,43.1,24.3,18.7,True
6ª Região - PB,capitulo_cid,M,238,187,78.6,24.3,54.2,True
6ª Região - PB,capitulo_cid,N,775,274,35.4,24.3,11.0,True
6ª Região - PB,capitulo_cid,O,2960,61,2.1,24.3,-22.3,True
6ª Região - PB,capitulo_cid,P,360,21,5.8,24.3,-18.5,True
6ª Região - PB,capitulo_cid,Q,83,71,85.5,24.3,61.2,True
6ª Região - PB,capitulo_cid,R,227,26,11.5,24.3,-12.9,True
6ª Região - PB,capitulo_cid,S,1078,143,13.3,24.3,-11.1,True
6ª Região - PB,capitulo_cid,T,355,63,17.7,24.3,-6.6,True
6ª Região - PB,capitulo_cid,U,1,1,100.0,24.3,75.7,False
6ª Região - PB,capitulo_cid,Z,175,63,36.0,24.3,11.7,True
7ª Região - PB,capitulo_cid,A,362,80,22.1,56.4,-34.3,True
7ª Região - PB,capitulo_cid,B,50,41,82.0,56.4,25.6,True
7ª Região - PB,capitulo_cid,C,604,559,92.5,56.4,36.2,True
7ª Região - PB,capitulo_cid,D,347,177,51.0,56.4,-5.4,True
7ª Região - PB,capitulo_cid,E,169,55,32.5,56.4,-23.8,True
7ª Região - PB,capitulo_cid,F,158,84,53.2,56.4,-3.2,True
7ª Região - PB,capitulo_cid,G,74,51,68.9,56.4,12.5,True
7ª Região - PB,capitulo_cid,H,27,17,63.0,56.4,6.6,False
7ª Região - PB,capitulo_cid,I,712,405,56.9,56.4,0.5,True
7ª Região - PB,capitulo_cid,J,1403,487,34.7,56.4,-21.7,True
7ª Região - PB,capitulo_cid,K,950,540,56.8,56.4,0.5,True
7ª Região - PB,capitulo_cid,L,164,33,20.1,56.4,-36.3,True
7ª Região - PB,capitulo_cid,M,201,172,85.6,56.4,29.2,True
7ª Região - PB,capitulo_cid,N,494,252,51.0,56.4,-5.4,True
7ª Região - PB,capitulo_cid,O,1621,757,46.7,56.4,-9.7,True
7ª Região - PB,capitulo_cid,P,143,141,98.6,56.4,42.2,True
7ª Região - PB,capitulo_cid,Q,47,44,93.6,56.4,37.2,True
7ª Região - PB,capitulo_cid,R,221,55,24.9,56.4,-31.5,True
7ª Região - PB,capitulo_cid,S,907,897,98.9,56.4,42.5,True
7ª Região - PB,capitulo_cid,T,137,102,74.5,56.4,18.1,True
7ª Região - PB,capitulo_cid,U,2,2,100.0,56.4,43.6,False
7ª Região - PB,capitulo_cid,Z,126,78,61.9,56.4,5.5,True
8ª Região - PB,capitulo_cid,A,319,59,18.5,33.5,-15.0,True
8ª Região - PB,capitulo_cid,B,33,19,57.6,33.5,24.1,True
8ª Região - PB,capitulo_cid,C,440,428,97.3,33.5,63.8,True
8ª Região - PB,capitulo_cid,D,287,68,23.7,33.5,-9.8,True
8ª Região - PB,capitulo_cid,E,182,56,30.8,33.5,-2.7,True
8ª Região - PB,capitulo_cid,F,53,52,98.1,33.5,64.6,True
8ª Região - PB,capitulo_cid,G,78,31,39.7,33.5,6.2,True
8ª Região - PB,capitulo_cid,H,12,5,41.7,33.5,8.2,False
8ª Região - PB,capitulo_cid,I,894,431,48.2,33.5,14.7,True
8ª Região - PB,capitulo_cid,J,1024,273,26.7,33.5,-6.8,True
8ª Região - PB,capitulo_cid,K,1028,193,18.8,33.5,-14.7,True
8ª Região - PB,capitulo_cid,L,117,12,10.3,33.5,-23.3,True
8ª Região - PB,capitulo_cid,M,128,110,85.9,33.5,52.4,True
8ª Região - PB,capitulo_cid,N,579,139,24.0,33.5,-9.5,True
8ª Região - PB,capitulo_cid,O,1213,247,20.4,33.5,-13.1,True
8ª Região - PB,capitulo_cid,P,71,71,100.0,33.5,66.5,True
8ª Região - PB,capitulo_cid,Q,44,36,81.8,33.5,48.3,True
8ª Região - PB,capitulo_cid,R,74,51,68.9,33.5,35.4,True
8ª Região - PB,capitulo_cid,S,675,189,28.0,33.5,-5.5,True
8ª Região - PB,capitulo_cid,T,109,38,34.9,33.5,1.4,True
8ª Região - PB,capitulo_cid,U,1,1,100.0,33.5,66.5,False
8ª Região - PB,capitulo_cid,Z,231,35,15.2,33.5,-18.4,True
9ª Região - PB,capitulo_cid,A,1049,78,7.4,21.6,-14.2,True
9ª Região - PB,capitulo_cid,B,92,22,23.9,21.6,2.3,True
9ª Região - PB,capitulo_cid,C,590,519,88.0,21.6,66.4,True
9ª Região - PB,capitulo_cid,D,428,127,29.7,21.6,8.1,True
9ª Região - PB,capitulo_cid,E,286,41,14.3,21.6,-7.3,True
9ª Região - PB,capitulo_cid,F,61,56,91.8,21.6,70.2,True
9ª Região - PB,capitulo_cid,G,96,58,60.4,21.6,38.8,True
9ª Região - PB,capitulo_cid,H,57,18,31.6,21.6,10.0,True
9ª Região - PB,capitulo_cid,I,1270,503,39.6,21.6,18.0,True
9ª Região - PB,capitulo_cid,J,2555,338,13.2,21.6,-8.4,True
9ª Região - PB,capitulo_cid,K,1451,217,15.0,21.6,-6.7,True
9ª Região - PB,capitulo_cid,L,185,18,9.7,21.6,-11.9,True
9ª Região - PB,capitulo_cid,M,237,162,68.4,21.6,46.7,True
9ª Região - PB,capitulo_cid,N,1141,105,9.2,21.6,-12.4,True
9ª Região - PB,capitulo_cid,O,1714,270,15.8,21.6,-5.9,True
9ª Região - PB,capitulo_cid,P,261,95,36.4,21.6,14.8,True
9ª Região - PB,capitulo_cid,Q,86,52,60.5,21.6,38.9,True
9ª Região - PB,capitulo_cid,R,344,39,11.3,21.6,-10.3,True
9ª Região - PB,capitulo_cid,S,1157,108,9.3,21.6,-12.3,True
9ª Região - PB,capitulo_cid,T,168,43,25.6,21.6,4.0,True
9ª Região - PB,capitulo_cid,U,2,2,100.0,21.6,78.4,False
9ª Região - PB,capitulo_cid,Z,155,21,13.5,21.6,-8.1,True
10ª Região - PB,uti_flag,False,6614,1290,19.5,22.5,-3.0,True
10ª Região - PB,uti_flag,True,470,302,64.3,22.5,41.8,True
11ª Região - PB,uti_flag,False,3979,2028,51.0,54.4,-3.4,True
11ª Região - PB,uti_flag,True,301,301,100.0,54.4,45.6,True
