regiao,ESPEC,tipo_evasao,n,pct_do_evadido_regiao
7ª Região - PB,07,Alta complexidade eletiva,5,0.1
7ª Região - PB,07,Evasão evitável,387,7.7
7ª Região - PB,07,Não classificado,143,2.8
7ª Região - PB,09,Não classificado,2,0.0
7ª Região - PB,10,Não classificado,7,0.1
7ª Região - PB,87,Não classificado,1,0.0
8ª Região - PB,01,Alta complexidade eletiva,465,18.3
8ª Região - PB,01,Demanda represada,415,16.3
8ª Região - PB,01,Não classificado,53,2.1
8ª Região - PB,01,Referência legítima,183,7.2
8ª Região - PB,01,Urgência cirúrgica sem retaguarda,264,10.4
8ª Região - PB,02,Evasão evitável,210,8.3
8ª Região - PB,02,Não classificado,20,0.8
8ª Região - PB,03,Evasão evitável,435,17.1
8ª Região - PB,03,Não classificado,167,6.6
8ª Região - PB,03,Referência legítima,3,0.1
8ª Região - PB,04,Não classificado,3,0.1
8ª Região - PB,05,Não classificado,45,1.8
8ª Região - PB,07,Alta complexidade eletiva,1,0.0
8ª Região - PB,07,Evasão evitável,199,7.8
8ª Região - PB,07,Não classificado,73,2.9
8ª Região - PB,09,Alta complexidade eletiva,1,0.0
8ª Região - PB,09,Não classificado,3,0.1
8ª Região - PB,10,Não classificado,2,0.1
8ª Região - PB,87,Não classificado,2,0.1
9ª Região - PB,01,Alta complexidade eletiva,520,18.0
9ª Região - PB,01,Demanda represada,519,17.9
9ª Região - PB,01,Não classificado,71,2.5
9ª Região - PB,01,Referência legítima,244,8.4
9ª Região - PB,01,Urgência cirúrgica sem retaguarda,123,4.3
9ª Região - PB,02,Evasão evitável,246,8.5
9ª Região - PB,02,Não classificado,19,0.7
9ª Região - PB,03,Evasão evitável,395,13.7
9ª Região - PB,03,Não classificado,245,8.5
9ª Região - PB,03,Referência legítima,19,0.7
9ª Região - PB,05,Não classificado,51,1.8
9ª Região - PB,06,Não classificado,2,0.1
9ª Região - PB,07,Alta complexidade eletiva,1,0.0
9ª Região - PB,07,Evasão evitável,281,9.7
9ª Região - PB,07,Não classificado,146,5.0
9ª Região - PB,07,Referência legítima,2,0.1
9ª Região - PB,09,Não classificado,5,0.2
9ª Região - PB,10,Não classificado,1,0.0
9ª Região - PB,87,Não classificado,2,0.1
