codigo_municipio,nome_municipio,codigo_regiao_saude,nome_regiao_saude
251570,Serra Grande,25007,7ª Região - PB
251580,Serra Redonda,25016,16ª Região - PB
251590,Serraria,25002,2ª Região - PB
251593,Sertaozinho,25002,2ª Região - PB
251597,Sobrado,25001,1ª Região Mata Atlântica - PB
251600,Solanea,25002,2ª Região - PB
251610,Soledade,25016,16ª Região - PB
251615,Sossego,25004,4ª Região - PB
251620,Sousa,25010,10ª Região - PB
251630,Sume,25005,5ª Região - PB
251640,Tacima,25002,2ª Região - PB
251650,Taperoa,25016,16ª Região - PB
251660,Tavares,25011,11ª Região - PB
251670,Teixeira,25006,6ª Região - PB
251675,Tenorio,25016,16ª Região - PB
251680,Triunfo,25009,9ª Região - PB
251690,Uirauna,25009,9ª Região - PB
251700,Umbuzeiro,25015,15ª Região - PB
251710,Varzea,25006,6ª Região - PB
251720,Vieiropolis,25010,10ª Região - PB
251740,Zabele,25005,5ª Região - PB
